type,x,y,yaw
start,394655.2831272735,4438783.608749678,-0.00875368141008499
goal,394683.69021445396,4438794.37986738,0.0
path,394655.2831272735,4438783.608749678,-0.00875368141008499
path,394656.2830889603,4438783.599996109,0.1371559878590786
path,394657.2736978136,4438783.736722477,0.4493288391983874
path,394658.17443664494,4438784.171083569,0.7615016905376962
path,394658.89823729196,4438784.8610927155,0.4493288391983874
path,394659.7989761233,4438785.295453807,0.13715598785907857
path,394660.7895849766,4438785.432180176,0.4493288391983874
path,394661.69032380794,4438785.866541267,0.4493288391983874
path,394662.59106263926,4438786.300902359,0.7615016905376962
path,394663.3148632863,4438786.990911506,0.4493288391983874
path,394664.2156021176,4438787.425272598,0.7615016905376962
path,394664.9394027646,4438788.115281745,0.4493288391983874
path,394665.8401415959,4438788.549642837,0.13715598785907857
path,394666.83075044927,4438788.686369205,0.13715598785907857
path,394667.8213593026,4438788.823095573,-0.17501686348023027
path,394668.8060829053,4438788.648970829,-0.029107194211066695
path,394669.80565932085,4438788.619867745,0.28306565712824217
path,394670.7658630327,4438788.899168356,0.1371559878590786
path,394671.75647188607,4438789.035894725,0.1371559878590786
path,394672.7470807394,4438789.172621093,-0.008753681410084979
path,394673.7470424262,4438789.163867523,0.1371559878590786
path,394674.73765127955,4438789.300593891,0.1371559878590786
path,394675.7282601329,4438789.437320259,0.4493288391983874
path,394676.6289989642,4438789.871681351,0.13715598785907857
path,394677.61960781756,4438790.008407719,0.4493288391983874
path,394678.5203466489,4438790.442768811,0.7615016905376962
path,394679.2441472959,4438791.132777958,0.7615016905376962
path,394679.9679479429,4438791.822787105,0.4493288391983874
path,394680.8686867742,4438792.257148197,0.7615016905376962
path,394681.59248742124,4438792.947157344,1.073674541877005
path,394682.06938510615,4438793.826116159,1.2195842111461686
path,394682.06938510615,4438793.826116159,1.2195842111461686
path,394682.60966155544,4438794.010699899,0.8130561407641124
path,394683.1499380047,4438794.195283639,0.4065280703820562
path,394683.69021445396,4438794.37986738,0.0
