type,x,y,yaw
start,394655.856893327,4438783.036587364,0.03349084376383897
goal,394698.44155828556,4438794.430338941,0.0
path,394655.856893327,4438783.036587364,0.03349084376383897
path,394656.8563325611,4438783.070071948,0.17940051303300253
path,394657.840283403,4438783.248511688,0.49157336437231136
path,394658.7218747038,4438783.720525224,0.49157336437231136
path,394659.60346600466,4438784.19253876,0.8037462157116202
path,394660.2974804608,4438784.912499825,0.6578365464424566
path,394661.08879729226,4438785.523906131,0.34566369510314776
path,394662.02964807814,4438785.862727321,0.6578365464424566
path,394662.8209649096,4438786.4741336275,0.34566369510314776
path,394663.7618156955,4438786.812954817,0.03349084376383893
path,394664.7612549296,4438786.846439401,-0.2786820075754699
path,394665.7226737677,4438786.5713506555,0.03349084376383893
path,394666.7221130018,4438786.604835239,0.1794005130330025
path,394667.7060638437,4438786.783274979,0.1794005130330025
path,394668.69001468556,4438786.961714719,0.1794005130330025
path,394669.67396552744,4438787.1401544595,0.1794005130330025
path,394670.6579163693,4438787.3185942,-0.13277233830630633
path,394671.6491150633,4438787.186211614,0.1794005130330025
path,394672.6330659052,4438787.364651354,0.03349084376383893
path,394673.6325051393,4438787.398135938,0.1794005130330025
path,394674.61645598116,4438787.576575678,0.1794005130330025
path,394675.60040682304,4438787.755015418,0.1794005130330025
path,394676.5843576649,4438787.933455158,0.03349084376383893
path,394677.583796899,4438787.966939742,-0.2786820075754699
path,394678.54521573713,4438787.691850997,0.03349084376383893
path,394679.5446549712,4438787.72533558,0.1794005130330025
path,394680.5286058131,4438787.90377532,0.1794005130330025
path,394681.512556655,4438788.0822150605,0.49157336437231136
path,394682.3941479558,4438788.554228596,0.49157336437231136
path,394683.27573925664,4438789.026242132,0.17940051303300253
path,394684.2596900985,4438789.204681872,0.49157336437231136
path,394685.14128139935,4438789.676695408,0.8037462157116202
path,394685.8352958555,4438790.396656473,0.6578365464424566
path,394686.62661268696,4438791.00806278,0.34566369510314776
path,394687.56746347283,4438791.346883969,0.49157336437231136
path,394688.44905477366,4438791.818897505,0.49157336437231136
path,394689.3306460745,4438792.290911041,0.8037462157116202
path,394690.0246605306,4438793.010872106,0.6578365464424566
path,394690.8159773621,4438793.622278413,0.34566369510314776
path,394691.756828148,4438793.961099602,0.1997540258339842
path,394692.7369435637,4438794.159527856,0.511926877173293
path,394693.6087457941,4438794.649385867,0.19975402583398416
path,394694.5888612098,4438794.84781412,-0.11241882550532467
path,394695.5825488658,4438794.735631936,-0.4245916768446335
path,394696.49375588296,4438794.323683187,-0.7367645281839423
path,394696.49375588296,4438794.323683187,-0.7367645281839423
path,394697.1430233505,4438794.359235105,-0.4911763521226282
path,394697.792290818,4438794.394787023,-0.2455881760613141
path,394698.44155828556,4438794.430338941,0.0
