type,x,y,yaw
start,394649.204020045,4438783.661757734,-0.007218629426370913
goal,394675.7827336596,4438783.077062452,1.5707963267948966
path,394649.204020045,4438783.661757734,-0.007218629426370913
path,394650.2039939908,4438783.654539167,-0.31939148076567975
path,394651.1534206529,4438783.340550292,-0.007218629426370915
path,394652.1533945987,4438783.333331726,0.13869103984279266
path,394653.14379240293,4438783.471578567,-0.007218629426370915
path,394654.1437663487,4438783.464360001,0.13869103984279266
path,394655.13416415296,4438783.602606842,0.13869103984279266
path,394656.1245619572,4438783.740853684,-0.007218629426370915
path,394657.124535903,4438783.733635117,0.13869103984279266
path,394658.1149337072,4438783.871881959,0.13869103984279266
path,394659.10533151147,4438784.010128801,-0.007218629426370915
path,394660.10530545725,4438784.002910234,0.13869103984279266
path,394661.0957032615,4438784.141157076,0.45086389118210146
path,394661.99577426503,4438784.576900336,0.13869103984279263
path,394662.9861720693,4438784.715147178,-0.1734818114965162
path,394663.9711618022,4438784.5425342405,0.13869103984279263
path,394664.9615596064,4438784.680781082,0.45086389118210146
path,394665.86163060996,4438785.116524342,0.45086389118210146
path,394666.7617016135,4438785.552267603,0.13869103984279263
path,394667.75209941773,4438785.690514444,-0.007218629426370943
path,394668.7520733635,4438785.683295878,0.13869103984279263
path,394669.74247116776,4438785.821542719,-0.007218629426370943
path,394670.74244511354,4438785.814324153,-0.007218629426370943
path,394671.74241905933,4438785.807105586,-0.3193914807656798
path,394672.69184572145,4438785.493116711,-0.6315643321049886
path,394673.4989506234,4438784.9027086515,-0.7774740013741522
path,394674.2116383743,4438784.20122724,-0.7774740013741522
path,394674.2116383743,4438784.20122724,-0.7774740013741522
path,394674.7353368027,4438783.826505644,0.005282774682197289
path,394675.2590352312,4438783.451784048,0.7880395507385468
path,394675.7827336596,4438783.077062452,1.5707963267948966
