type,timestamp,x,y,yaw,target_waypoint_idx
actual,1746207779.596257,394669.4565635269,4438783.264037793,-0.03311734330391218,0
actual,1746207779.5963168,394669.4565635269,4438783.264037793,-0.03311734330391218,0
actual,1746207780.9597533,394669.4565635269,4438783.264037793,-0.03311734330391218,0
actual,1746207780.9598339,394669.4565635269,4438783.264037793,-0.03311734330391218,0
actual,1746207782.3858387,394669.4585024514,4438783.263999553,-0.03324770194574365,0
actual,1746207782.3859236,394669.4585024514,4438783.263999553,-0.03324770194574365,0
actual,1746207782.6042478,394669.4585024514,4438783.263999553,-0.033180855835392126,0
actual,1746207782.6043143,394669.4585024514,4438783.263999553,-0.033180855835392126,0
actual,1746207783.9043818,394669.4598639738,4438783.264006667,-0.03317579438056147,0
actual,1746207783.904463,394669.4598639738,4438783.264006667,-0.03317579438056147,0
actual,1746207784.0078104,394669.4591281561,4438783.265595158,-0.033123993008362114,0
actual,1746207784.13412,394669.4591132484,4438783.265317546,-0.03314996350763195,0
actual,1746207784.290244,394669.4591132484,4438783.265317546,-0.03315436173734678,0
actual,1746207784.4258342,394669.4590661989,4438783.265295779,-0.03315022530701958,0
actual,1746207784.4258776,394669.4590661989,4438783.265295779,-0.03315022530701958,0
actual,1746207784.5819597,394669.458722248,4438783.265102005,-0.03317314148009844,0
actual,1746207785.2779193,394669.45985692577,4438783.263171701,-0.033170994725118454,0
actual,1746207785.2779644,394669.45985692577,4438783.263171701,-0.033170994725118454,0
actual,1746207785.5937345,394669.45985692577,4438783.263171701,-0.03317645760567705,0
actual,1746207785.5937805,394669.45985692577,4438783.263171701,-0.03317645760567705,0
actual,1746207785.5938087,394669.45985692577,4438783.263171701,-0.03317645760567705,0
actual,1746207785.7176511,394669.4597405913,4438783.262954008,-0.03313825234835087,0
actual,1746207785.865446,394669.4597405913,4438783.262954008,-0.03313825234835087,0
actual,1746207785.8837795,394669.4585432483,4438783.260415346,-0.03314331380318177,0
actual,1746207785.9833202,394669.4585289391,4438783.26038948,-0.03317113435145851,0
actual,1746207786.2252889,394669.4585289391,4438783.26038948,-0.033170610752682995,0
actual,1746207786.2253358,394669.4585289391,4438783.26038948,-0.033170610752682995,0
actual,1746207786.9851527,394669.4585022776,4438783.259346,-0.033093379933282284,0
actual,1746207786.9853294,394669.4585022776,4438783.259346,-0.033093379933282284,0
actual,1746207787.122706,394669.4594579237,4438783.263137918,-0.03317274005437051,0
actual,1746207787.192677,394669.46047390316,4438783.260189407,-0.03317274005437051,0
actual,1746207787.4745739,394669.4604471113,4438783.260154828,-0.03317352545253366,0
actual,1746207787.4746945,394669.4604471113,4438783.260154828,-0.03317352545253366,0
actual,1746207787.5586207,394669.4604471113,4438783.260154828,-0.03321188778949262,0
actual,1746207787.6382797,394669.4598209739,4438783.259332483,-0.033201625253491004,0
actual,1746207788.3284917,394669.4605529758,4438783.263062105,-0.03320495883236208,0
actual,1746207788.3285577,394669.4605529758,4438783.263062105,-0.03320495883236208,0
actual,1746207789.9323578,394669.4595342143,4438783.264814454,-0.03316314074348447,0
actual,1746207789.9324055,394669.4595342143,4438783.264814454,-0.03316314074348447,0
actual,1746207791.4580584,394669.4590508395,4438783.264797529,-0.03316314074348447,0
actual,1746207791.458164,394669.4590508395,4438783.264797529,-0.03316314074348447,0
actual,1746207791.5937214,394669.4594803372,4438783.265514149,-0.03310695859486275,0
actual,1746207793.565692,394669.4594803372,4438783.265514149,-0.03317499152910535,0
actual,1746207793.5657978,394669.4594803372,4438783.265514149,-0.03317499152910535,0
actual,1746207794.6594698,394669.4594803372,4438783.265514149,-0.03317499152910535,0
actual,1746207794.659549,394669.4594803372,4438783.265514149,-0.03317499152910535,0
actual,1746207795.715534,394669.4587399579,4438783.264296454,-0.0331550249624626,0
actual,1746207795.7155948,394669.4587399579,4438783.264296454,-0.0331550249624626,0
actual,1746207795.847843,394669.4626662238,4438783.266550189,-0.033170994725118454,0
actual,1746207795.9164958,394669.4621333105,4438783.264781457,-0.0331535588858909,0
actual,1746207796.0162337,394669.46198213997,4438783.26458145,-0.03317832510797668,0
actual,1746207796.1160462,394669.461717432,4438783.264375419,-0.03318977446786987,0
actual,1746207796.2157533,394669.4614096432,4438783.264190144,-0.03321761246943909,0
actual,1746207796.315892,394669.4611293737,4438783.2644044105,-0.03317366507887396,0
actual,1746207796.4157803,394669.4609563186,4438783.2642657235,-0.033159423192177684,0
actual,1746207796.515825,394669.4607022401,4438783.26411131,-0.033135180568867426,0
actual,1746207796.615752,394669.460422615,4438783.263894444,-0.03309683568520119,0
actual,1746207796.7160454,394669.4600914795,4438783.263629856,-0.033086311349811694,0
actual,1746207796.8298142,394669.46067140857,4438783.264265243,-0.03313052053976471,0
actual,1746207796.9161227,394669.46052876406,4438783.264199001,-0.03311907117987151,0
actual,1746207797.0337815,394669.46040757676,4438783.264137976,-0.033119874031327386,0
actual,1746207797.1170974,394669.4601998086,4438783.264014433,-0.0331102747204416,0
actual,1746207797.2563198,394669.46000245726,4438783.263909086,-0.03310336321660354,0
actual,1746207797.3161793,394669.4614636755,4438783.264754657,-0.03315821891499387,0
actual,1746207797.415966,394669.4615358955,4438783.264781891,-0.03318790696557024,0
actual,1746207797.5157995,394669.4615782241,4438783.264747034,-0.03317352545253366,0
actual,1746207797.6165106,394669.461618574,4438783.264710842,-0.03317780150920116,0
actual,1746207797.7162404,394669.4616061465,4438783.264683073,-0.03319083911871363,0
