type,x,y,yaw
start,394645.3953071429,4438784.361632101,0.0040428108661494915
goal,394671.8368678037,4438789.348873171,1.5707963267948966
path,394645.3953071429,4438784.361632101,0.0040428108661494915
path,394646.3952989708,4438784.365674901,0.14995248013531307
path,394647.3840771489,4438784.515066047,0.46212533147462187
path,394648.27918408654,4438784.9609175585,0.7742981828139307
path,394648.9940960174,4438785.660132068,0.46212533147462187
path,394649.889202955,4438786.1059835795,0.14995248013531304
path,394650.8779811331,4438786.255374726,0.0040428108661494655
path,394651.877972961,4438786.2594175255,0.14995248013531304
path,394652.8667511391,4438786.408808672,0.0040428108661494655
path,394653.866742967,4438786.412851471,0.0040428108661494655
path,394654.86673479486,4438786.416894271,0.0040428108661494655
path,394655.86672662274,4438786.420937071,0.14995248013531304
path,394656.85550480086,4438786.570328217,0.46212533147462187
path,394657.7506117385,4438787.016179728,0.46212533147462187
path,394658.6457186761,4438787.46203124,0.46212533147462187
path,394659.5408256137,4438787.907882751,0.14995248013531304
path,394660.52960379183,4438788.057273897,0.14995248013531304
path,394661.51838196995,4438788.206665044,0.14995248013531304
path,394662.50716014806,4438788.35605619,0.0040428108661494655
path,394663.50715197594,4438788.36009899,0.14995248013531304
path,394664.49593015405,4438788.509490136,0.14995248013531304
path,394665.48470833217,4438788.658881282,0.0040428108661494655
path,394666.48470016004,4438788.662924082,0.0040428108661494655
path,394667.4846919879,4438788.666966882,0.14995248013531304
path,394668.47347016603,4438788.816358028,0.46212533147462187
path,394669.36857710365,4438789.262209539,0.46212533147462187
path,394670.2636840413,4438789.708061051,0.46212533147462187
path,394670.2636840413,4438789.708061051,0.46212533147462187
path,394670.7880786288,4438789.588331757,0.8316823299147134
path,394671.3124732162,4438789.468602465,1.2012393283548048
path,394671.8368678037,4438789.348873171,1.5707963267948966
