type,x,y,yaw
start,394650.1960474479,4438783.4350210605,-0.00033475415053261273
goal,394670.9832982911,4438783.143728894,0.0
path,394650.1960474479,4438783.4350210605,-0.00033475415053261273
path,394651.19604739186,4438783.434686306,0.14557491511863097
path,394652.1854700633,4438783.579747594,-0.16659793622067787
path,394653.17162469466,4438783.413919239,-0.020688266951514295
path,394654.1714107001,4438783.393232448,-0.020688266951514295
path,394655.1711967055,4438783.372545657,-0.020688266951514295
path,394656.1709827109,4438783.3518588655,-0.020688266951514295
path,394657.1707687163,4438783.331172074,-0.020688266951514295
path,394658.1705547217,4438783.310485283,-0.020688266951514295
path,394659.17034072714,4438783.289798492,-0.020688266951514295
path,394660.17012673256,4438783.2691117,-0.020688266951514295
path,394661.16991273797,4438783.248424909,0.29148458438779457
path,394662.12773103744,4438783.535799412,0.43739425365695817
path,394663.03358951805,4438783.959379881,0.12522140231764933
path,394664.02575955767,4438784.0842742855,-0.1869514490216595
path,394665.00833497464,4438783.898409953,-0.04104177975249593
path,394666.007492879,4438783.8573796945,-0.35321463109180473
path,394666.94575845014,4438783.511463927,-0.49912430036096833
path,394667.82376050827,4438783.032807071,-0.6450339696301319
path,394668.62283985224,4438782.431581488,-0.3328611182908231
path,394669.5679511994,4438782.104833051,-0.020688266951514267
path,394669.5679511994,4438782.104833051,-0.020688266951514267
path,394670.0397335633,4438782.451131665,-0.013792177967676178
path,394670.5115159272,4438782.79743028,-0.006896088983838089
path,394670.9832982911,4438783.143728894,0.0
