type,timestamp,x,y,yaw
actual,1745085660.0205615,394656.8019240755,4438782.893952486,-0.019209250827082372
actual,1745085660.0708554,394656.8011997901,4438782.895502709,-0.019189807859215133
actual,1745085660.2843173,394656.80127720477,4438782.895596528,-0.01920445117163935
actual,1745085660.2843885,394656.80127720477,4438782.895596528,-0.01920445117163935
actual,1745085660.4414794,394656.8012860912,4438782.895590762,-0.019200192568264322
actual,1745085660.6812184,394656.80128576973,4438782.895586597,-0.019135353586552738
actual,1745085660.6812894,394656.80128576973,4438782.895586597,-0.019135353586552738
actual,1745085660.68134,394656.80128576973,4438782.895586597,-0.019135353586552738
actual,1745085660.787387,394656.8005921596,4438782.894545226,-0.019101389479309113
actual,1745085660.9361506,394656.8005774154,4438782.894444009,-0.01909367512401518
actual,1745085660.9871027,394656.8005803264,4438782.894433435,-0.019097532301662022
actual,1745085661.065664,394656.8015206513,4438782.894057407,-0.019096066225090327
actual,1745085661.196205,394656.8015297076,4438782.8940460645,-0.019102052704424683
actual,1745085661.2997956,394656.8018026624,4438782.8936241865,-0.019131478955613422
actual,1745085661.395763,394656.8018026624,4438782.8936241865,-0.019131478955613422
actual,1745085661.473756,394656.8018142346,4438782.89359921,-0.01914798977033727
actual,1745085661.565607,394656.7996826726,4438782.89423522,-0.019098195526777842
actual,1745085661.6655672,394656.79959968,4438782.894173713,-0.019089678320028034
actual,1745085661.7656474,394656.7995550242,4438782.8941136645,-0.019106974532915284
actual,1745085661.8655558,394656.79943440633,4438782.894001349,-0.01909247084683137
actual,1745085661.9656398,394656.7993844954,4438782.893855216,-0.0190613167196833
actual,1745085662.0655603,394656.80006457,4438782.894014974,-0.01915451730173962
actual,1745085662.165628,394656.800154829,4438782.893845492,-0.01910978451301109
actual,1745085662.265564,394656.8003017811,4438782.893734566,-0.019131880381341358
actual,1745085662.3656237,394656.8003966715,4438782.893510862,-0.019103920206724315
actual,1745085662.4655766,394656.80082620797,4438782.895485559,-0.01908341258801357
actual,1745085662.565633,394656.8009503254,4438782.89558797,-0.01911111096324273
actual,1745085662.6715062,394656.80101421644,4438782.895615725,-0.019069572127045225
actual,1745085662.7676573,394656.80114453356,4438782.895720973,-0.019123886773367318
actual,1745085662.877274,394656.8012388584,4438782.895750305,-0.019120291395108107
actual,1745085662.9656363,394656.8021342039,4438782.896257491,-0.019169439866844194
actual,1745085663.0655968,394656.80225124344,4438782.896265435,-0.01915118372286854
actual,1745085663.1655872,394656.8023844949,4438782.896300496,-0.019156245177699194
actual,1745085663.2655478,394656.8025704882,4438782.896340738,-0.01917848067236952
actual,1745085663.3655977,394656.8028270876,4438782.896367697,-0.01916516381017694
actual,1745085663.4656134,394656.8021818082,4438782.8961707605,-0.019116573843801322
actual,1745085663.5656624,394656.80214808974,4438782.896156532,-0.019149717646296846
actual,1745085663.6656551,394656.80212942924,4438782.896109632,-0.019158653732067068
actual,1745085663.7655952,394656.8021273667,4438782.896103986,-0.019197801467189177
actual,1745085663.865574,394656.80209802056,4438782.895987999,-0.01919926754376087
actual,1745085663.9655893,394656.80208464817,4438782.896043302,-0.019160643407414277
