type,x,y,yaw
start,394648.67483128887,4438783.212059839,0.02422265674355841
goal,394670.9832982911,4438783.143728894,0.0
path,394648.67483128887,4438783.212059839,0.02422265674355841
path,394649.67453793465,4438783.2362801265,-0.12168701252560515
path,394650.66714320186,4438783.11489321,0.19048583881370368
path,394651.6490555661,4438783.3042291785,0.19048583881370368
path,394652.63096793037,4438783.493565147,-0.12168701252560515
path,394653.6235731976,4438783.37217823,0.19048583881370368
path,394654.6054855618,4438783.561514199,-0.12168701252560515
path,394655.59809082904,4438783.440127282,-0.12168701252560515
path,394656.59069609625,4438783.318740366,0.19048583881370368
path,394657.5726084605,4438783.508076334,0.19048583881370368
path,394658.55452082475,4438783.697412303,-0.12168701252560515
path,394659.54712609196,4438783.576025386,0.19048583881370368
path,394660.5290384562,4438783.765361355,-0.12168701252560515
path,394661.5216437234,4438783.643974438,-0.12168701252560515
path,394662.5142489906,4438783.522587522,-0.2675966817947687
path,394663.47865814355,4438783.258173102,-0.12168701252560513
path,394664.47126341076,4438783.136786185,0.1904858388137037
path,394665.453175775,4438783.326122154,0.1904858388137037
path,394666.43508813926,4438783.515458122,-0.12168701252560513
path,394667.42769340647,4438783.3940712055,0.1904858388137037
path,394668.4096057707,4438783.583407174,0.5026586901530126
path,394669.2859105885,4438784.065164235,0.8148315414923214
path,394669.2859105885,4438784.065164235,0.8148315414923214
path,394669.8517064894,4438783.758019121,0.5432210276615477
path,394670.4175023902,4438783.450874008,0.27161051383077384
path,394670.9832982911,4438783.143728894,0.0
