type,x,y,yaw
start,394648.8054459846,4438783.556628741,-0.019381026132063512
goal,394678.8042786436,4438796.812411228,1.5707963267948966
path,394648.8054459846,4438783.556628741,-0.019381026132063512
path,394649.8052581784,4438783.537248928,0.29279182520724534
path,394650.7626999919,4438783.825875285,0.43870149447640894
path,394651.6680039769,4438784.250639566,0.29279182520724534
path,394652.6254457904,4438784.539265923,0.14688215593808177
path,394653.6146779865,4438784.685620501,0.45905500727739057
path,394654.51114961156,4438785.128721646,0.7712278586166994
path,394655.22820498457,4438785.825737853,0.917137527885863
path,394655.83630004356,4438786.619602072,0.7712278586166994
path,394656.5533554166,4438787.316618279,0.917137527885863
path,394657.16145047557,4438788.110482498,0.6049646765465542
path,394657.98397266335,4438788.679215521,0.29279182520724534
path,394658.94141447684,4438788.967841878,0.14688215593808177
path,394659.9306466729,4438789.114196455,0.45905500727739057
path,394660.827118298,4438789.5572976,0.45905500727739057
path,394661.72358992306,4438790.000398746,0.14688215593808174
path,394662.7128221191,4438790.146753323,0.14688215593808174
path,394663.7020543152,4438790.293107901,0.0009724866689181655
path,394664.7020538423,4438790.294080387,0.14688215593808174
path,394665.6912860384,4438790.440434964,0.14688215593808174
path,394666.68051823444,4438790.586789542,0.45905500727739057
path,394667.5769898595,4438791.029890687,0.7712278586166994
path,394668.2940452325,4438791.726906894,0.45905500727739057
path,394669.1905168576,4438792.170008039,0.14688215593808174
path,394670.17974905367,4438792.316362617,0.14688215593808174
path,394671.16898124974,4438792.462717194,0.0009724866689181655
path,394672.16898077686,4438792.46368968,0.0009724866689181655
path,394673.168980304,4438792.464662166,0.14688215593808174
path,394674.15821250004,4438792.611016744,0.45905500727739057
path,394675.0546841251,4438793.054117889,0.7712278586166994
path,394675.77173949813,4438793.751134096,0.917137527885863
path,394676.3798345571,4438794.544998315,0.917137527885863
path,394676.9879296161,4438795.338862535,1.2293103792251718
path,394677.32281722355,4438796.281120615,0.917137527885863
path,394677.32281722355,4438796.281120615,0.917137527885863
path,394677.81663769693,4438796.458217486,1.1350237941888741
path,394678.31045817025,4438796.6353143575,1.3529100604918853
path,394678.8042786436,4438796.812411228,1.5707963267948966
