type,x,y,yaw
start,394656.409785209,4438783.140542501,0.01608336613676043
goal,394698.44155828556,4438794.430338941,0.0
path,394656.409785209,4438783.140542501,0.01608336613676043
path,394657.4096558744,4438783.156625173,0.161993035405924
path,394658.3965636705,4438783.3179106405,0.47416588674523286
path,394659.28623755474,4438783.7745071575,0.7863387380845417
path,394659.9926789365,4438784.482278712,0.9322484073537053
path,394660.588709041,4438785.2852408,0.9322484073537053
path,394661.1847391455,4438786.088202888,0.6200755560143965
path,394661.99857369915,4438786.66929954,0.3079027046750876
path,394662.95154497214,4438786.972360183,0.16199303540592405
path,394663.9384527682,4438787.13364565,0.01608336613676048
path,394664.9383234336,4438787.149728322,-0.1298263031324031
path,394665.92990782944,4438787.020266413,0.18234654820690574
path,394666.91332871246,4438787.201604128,0.4945193995462146
path,394667.79352562106,4438787.676212811,0.18234654820690577
path,394668.7769465041,4438787.857550526,-0.12982630313240306
path,394669.7685308999,4438787.728088616,0.18234654820690577
path,394670.7519517829,4438787.9094263315,0.18234654820690577
path,394671.7353726659,4438788.090764047,0.4945193995462146
path,394672.6155695745,4438788.56537273,0.18234654820690577
path,394673.59899045754,4438788.746710445,0.18234654820690577
path,394674.58241134055,4438788.92804816,0.4945193995462146
path,394675.46260824916,4438789.402656843,0.8066922508855234
path,394676.15449866606,4438790.124659372,0.6607825816163598
path,394676.9440108417,4438790.738394269,0.6607825816163598
path,394677.7335230174,4438791.352129166,0.5148729123471962
path,394678.60387832776,4438791.844553407,0.2027000610078874
path,394679.5834049144,4438792.045868251,0.2027000610078874
path,394680.5629315011,4438792.247183094,-0.10947279033142143
path,394681.5569453371,4438792.137928831,-0.10947279033142143
path,394682.5509591731,4438792.028674569,-0.10947279033142143
path,394683.54497300915,4438791.919420307,-0.10947279033142143
path,394684.5389868452,4438791.810166044,-0.10947279033142143
path,394685.5330006812,4438791.700911782,-0.10947279033142143
path,394686.5270145172,4438791.591657519,0.2027000610078874
path,394687.5065411039,4438791.792972363,0.5148729123471962
path,394688.37689641427,4438792.285396604,0.6607825816163598
path,394689.1664085899,4438792.899131501,0.6607825816163598
path,394689.9559207656,4438793.512866398,0.348609730277051
path,394690.89576929086,4438793.854457893,0.03643687893774217
path,394691.8951055412,4438793.89088671,-0.1094727903314214
path,394692.88911937724,4438793.781632448,-0.1094727903314214
path,394693.88313321327,4438793.672378185,-0.1094727903314214
path,394694.8771470493,4438793.563123923,0.20270006100788743
path,394695.85667363595,4438793.764438766,-0.1094727903314214
path,394696.850687472,4438793.655184504,0.20270006100788743
path,394696.850687472,4438793.655184504,0.20270006100788743
path,394697.3809777432,4438793.913569316,0.1351333740052583
path,394697.91126801434,4438794.171954128,0.06756668700262916
path,394698.44155828556,4438794.430338941,0.0
