type,timestamp,x,y,yaw,target_waypoint_idx
actual,1746044524.0092402,394647.73474457057,4438783.73539004,-0.016909605004654642,0
actual,1746044524.0093005,394647.73474457057,4438783.73539004,-0.016909605004654642,0
actual,1746044525.2944722,394647.73461807694,4438783.735476455,-0.01691532968460112,0
actual,1746044525.2945178,394647.73461807694,4438783.735476455,-0.01691532968460112,0
actual,1746044526.435013,394647.73461807694,4438783.735476455,-0.01691532968460112,0
actual,1746044526.4351153,394647.73461807694,4438783.735476455,-0.01691532968460112,0
actual,1746044528.1459067,394647.73460341647,4438783.73548597,-0.01687099832160053,0
actual,1746044528.145966,394647.73460341647,4438783.73548597,-0.01687099832160053,0
actual,1746044529.1331146,394647.73460341647,4438783.73548597,-0.01687298799694774,0
actual,1746044529.1331944,394647.73460341647,4438783.73548597,-0.01687298799694774,0
actual,1746044529.8725731,394647.73460341647,4438783.73548597,-0.016863528312402003,0
actual,1746044529.8726373,394647.73460341647,4438783.73548597,-0.016863528312402003,0
actual,1746044531.1377964,394647.73460341647,4438783.73548597,-0.016863528312402003,0
actual,1746044531.1379125,394647.73460341647,4438783.73548597,-0.016863528312402003,0
actual,1746044531.3049214,394647.73326519184,4438783.736587009,-0.016897230620257993,0
actual,1746044531.3588006,394647.733499135,4438783.736556177,-0.01693396980101248,0
actual,1746044531.4381735,394647.73321721924,4438783.737184922,-0.01693810623133968,0
actual,1746044531.5382612,394647.7331149752,4438783.737211458,-0.016936099102699744,0
actual,1746044531.638219,394647.73301694874,4438783.737192326,-0.016923724718303095,0
actual,1746044531.7381964,394647.733026684,4438783.737240007,-0.01693451085308047,0
actual,1746044531.8381891,394647.73288308934,4438783.737802822,-0.01698856370001468,0
actual,1746044531.9381988,394647.7330600562,4438783.7378274305,-0.016977114340121734,0
actual,1746044532.038184,394647.7331970044,4438783.737849525,-0.01699695873371691,0
actual,1746044532.138225,394647.7332351886,4438783.737843744,-0.01699695873371691,0
actual,1746044532.2381485,394647.73321726004,4438783.737807217,-0.016970726435059442,0
actual,1746044532.3382206,394647.73291760363,4438783.736669333,-0.016866198666157507,0
actual,1746044532.4430423,394647.7331533288,4438783.736505061,-0.0168245202036197,0
actual,1746044532.5381656,394647.73357410386,4438783.736306487,-0.016799090756418354,0
actual,1746044532.6427066,394647.73371435184,4438783.736266821,-0.016824258404232066,0
actual,1746044532.749607,394647.7340344461,4438783.7362959115,-0.01696261065403757,0
actual,1746044532.8421896,394647.7338869695,4438783.736101596,-0.01694728666320506,0
actual,1746044532.9387183,394647.733510288,4438783.736267591,-0.01701493562501245,0
actual,1746044533.056771,394647.7330881993,4438783.7361762775,-0.017019333854727533,0
actual,1746044533.1381583,394647.73256036406,4438783.735734487,-0.016964076730609266,0
actual,1746044533.2382686,394647.73205364466,4438783.73578809,-0.01698271684702063,0
actual,1746044533.3380973,394647.7345968911,4438783.738061111,-0.016929972997025335,0
actual,1746044533.4381807,394647.7350480587,4438783.738076705,-0.016869532245028834,0
actual,1746044533.5381317,394647.73568775144,4438783.7383898655,-0.01689775421903351,0
