type,timestamp,x,y,yaw,target_waypoint_idx
actual,1745692180.64569,394650.4045599126,4438783.521466234,-0.08763224870434932,0
actual,1745692180.6457613,394650.4045599126,4438783.521466234,-0.08763224870434932,0
actual,1745692180.6457925,394650.4045599126,4438783.521466234,-0.08763224870434932,0
actual,1745692182.082464,394650.4043199552,4438783.5216734875,-0.08763797338429605,0
actual,1745692182.0825393,394650.4043199552,4438783.5216734875,-0.08763797338429605,0
actual,1745692183.238563,394650.4043199552,4438783.5216734875,-0.08763797338429605,0
actual,1745692183.238612,394650.4043199552,4438783.5216734875,-0.08763797338429605,0
actual,1745692183.613356,394650.403989058,4438783.521876677,-0.08763504123115266,0
actual,1745692183.6134074,394650.403989058,4438783.521876677,-0.08763504123115266,0
actual,1745692183.6134446,394650.403989058,4438783.521876677,-0.08763504123115266,0
actual,1745692183.6907141,394650.40617800405,4438783.516151799,-0.0876720596645875,0
actual,1745692183.8194203,394650.40637193137,4438783.517918621,-0.0876720596645875,0
actual,1745692183.8426292,394650.40637193137,4438783.517918621,-0.08767698149307811,0
actual,1745692183.9466133,394650.4060579453,4438783.5184544055,-0.08766593355891285,0
actual,1745692184.72937,394650.4058753848,4438783.518696072,-0.08766593355891285,0
actual,1745692184.7294981,394650.4058753848,4438783.518696072,-0.08766593355891285,0
actual,1745692184.8454447,394650.4058753848,4438783.518696072,-0.08765422239963201,0
actual,1745692186.9904065,394650.4064625922,4438783.519061171,-0.08754463317589943,0
actual,1745692186.9904528,394650.4064625922,4438783.519061171,-0.08754463317589943,0
actual,1745692187.09696,394650.4064625922,4438783.519061171,-0.08768298542570493,0
actual,1745692187.1906116,394650.4061108967,4438783.51770469,-0.0876720596645875,0
actual,1745692187.29064,394650.40599851776,4438783.517881043,-0.0876761960949147,0
actual,1745692187.3905318,394650.4058355789,4438783.518094811,-0.08765848100300705,0
actual,1745692187.4905818,394650.4055901384,4438783.518397645,-0.08766061030469431,0
actual,1745692187.5906453,394650.4053117766,4438783.518702338,-0.08764170838889532,0
actual,1745692187.6906316,394650.4057530228,4438783.519434485,-0.08766020887896638,0
actual,1745692187.7905831,394650.405653802,4438783.519579618,-0.08766820248694042,0
actual,1745692187.8905487,394650.40548999957,4438783.519714524,-0.08765900460178257,0
actual,1745692187.9905841,394650.4053254537,4438783.51989132,-0.08765341954817614,0
actual,1745692188.0906482,394650.40511630767,4438783.520065874,-0.0876686039126686,0
actual,1745692188.209344,394650.40671213693,4438783.51950447,-0.08767432859261508,0
actual,1745692188.290578,394650.4066778902,4438783.519583314,-0.08767898862171779,0
actual,1745692188.3932288,394650.4066217223,4438783.519647123,-0.08768071649767736,0
actual,1745692188.4910684,394650.40653258807,4438783.519736324,-0.08765741635216329,0
actual,1745692188.5923378,394650.4062710802,4438783.519852629,-0.08763078262777789,0
actual,1745692188.6934128,394650.4056676682,4438783.518899889,-0.0876840500765487,0
actual,1745692188.7906706,394650.4055156774,4438783.518877371,-0.08765928385446292,0
actual,1745692188.890684,394650.40536566946,4438783.518876556,-0.08762652402440285,0
actual,1745692188.9906046,394650.4052011279,4438783.518912196,-0.08759842422344576,0
actual,1745692189.0906322,394650.4050535353,4438783.519016829,-0.08761346896159791,0
actual,1745692189.1905913,394650.4055645429,4438783.518498925,-0.08771120739970961,0
actual,1745692189.2906256,394650.4055522588,4438783.518517942,-0.0877065473706069,0
actual,1745692189.3905091,394650.4055050829,4438783.518555875,-0.08769563906278194,0
actual,1745692189.4905996,394650.40549063066,4438783.51862246,-0.08770522092037526,0
actual,1745692189.590607,394650.40547747083,4438783.518712578,-0.08770867667229416,0
actual,1745692189.6905954,394650.4051526207,4438783.518445414,-0.08769535981010158,0
actual,1745692189.790651,394650.4050239908,4438783.518525084,-0.08765807957727886,0
