type,x,y,yaw
start,394656.4668075655,4438788.712719966,-0.00423163803792297
goal,394692.46474515164,4438795.0573301725,0.0
path,394656.4668075655,4438788.712719966,-0.00423163803792297
path,394657.4667986121,4438788.7084883405,0.1416780312312406
path,394658.4567790566,4438788.849692871,0.4538508825705494
path,394659.3555444854,4438789.2881226875,0.7660237339098582
path,394660.0762174913,4438789.981397826,0.4538508825705494
path,394660.9749829201,4438790.419827643,0.14167803123124056
path,394661.9649633646,4438790.561032173,-0.17049482010806827
path,394662.95046429604,4438790.391362158,0.14167803123124056
path,394663.9404447405,4438790.532566688,0.14167803123124056
path,394664.930425185,4438790.673771218,-0.17049482010806827
path,394665.91592611646,4438790.504101203,-0.024585150838904696
path,394666.91562391684,4438790.479518529,0.28758770050040416
path,394667.874554806,4438790.763158353,0.43349736976956776
path,394668.7820570482,4438791.183205589,0.43349736976956776
path,394669.6895592905,4438791.603252824,0.12132451843025893
path,394670.68220849446,4438791.72427992,0.43349736976956776
path,394671.5897107367,4438792.144327155,0.28758770050040416
path,394672.54864162585,4438792.427966979,-0.024585150838904668
path,394673.5483394262,4438792.403384306,-0.024585150838904668
path,394674.5480372266,4438792.378801632,-0.024585150838904668
path,394675.547735027,4438792.354218958,-0.024585150838904668
path,394676.54743282736,4438792.329636284,-0.024585150838904668
path,394677.54713062773,4438792.30505361,-0.024585150838904668
path,394678.5468284281,4438792.280470937,-0.024585150838904668
path,394679.5465262285,4438792.255888263,0.28758770050040416
path,394680.50545711763,4438792.539528087,-0.024585150838904668
path,394681.505154918,4438792.514945413,-0.024585150838904668
path,394682.5048527184,4438792.490362739,0.28758770050040416
path,394683.4637836075,4438792.774002563,0.43349736976956776
path,394684.3712858498,4438793.194049799,0.28758770050040416
path,394685.3302167389,4438793.477689623,0.43349736976956776
path,394686.23771898117,4438793.897736859,0.43349736976956776
path,394687.1452212234,4438794.317784094,0.12132451843025893
path,394688.1378704274,4438794.4388111895,0.43349736976956776
path,394689.04537266964,4438794.858858425,0.43349736976956776
path,394689.9528749119,4438795.278905661,0.43349736976956776
path,394690.86037715414,4438795.6989528965,0.7456702211088766
path,394690.86037715414,4438795.6989528965,0.7456702211088766
path,394691.3951664866,4438795.485078655,0.4971134807392511
path,394691.92995581916,4438795.271204414,0.24855674036962555
path,394692.46474515164,4438795.0573301725,0.0
