type,x,y,yaw
start,394656.46886333684,4438788.719955383,-0.004169172703994058
goal,394692.46474515164,4438795.0573301725,0.0
path,394656.46886333684,4438788.719955383,-0.004169172703994058
path,394657.46885464585,4438788.715786222,0.14174049656516952
path,394658.45882626803,4438788.857052593,0.45391334790447835
path,394659.35756430845,4438789.29553855,0.7660861992437872
path,394660.07819400734,4438789.988858705,0.45391334790447835
path,394660.97693204775,4438790.427344663,0.14174049656516952
path,394661.96690366993,4438790.568611033,-0.17043235477413932
path,394662.9524151979,4438790.399002578,-0.024522685504975744
path,394663.95211453194,4438790.37448235,-0.024522685504975744
path,394664.951813866,4438790.349962123,-0.024522685504975744
path,394665.9515132,4438790.325441895,-0.024522685504975744
path,394666.95121253404,4438790.300921667,0.2876501658343331
path,394667.91012570367,4438790.584621391,0.4335598351034967
path,394668.8176017058,4438791.004725314,0.4335598351034967
path,394669.7250777079,4438791.424829236,0.4335598351034967
path,394670.63255371,4438791.844933159,0.12138698376418788
path,394671.62519535207,4438791.96602226,0.4335598351034967
path,394672.5326713542,4438792.386126182,0.12138698376418788
path,394673.52531299624,4438792.507215283,-0.02452268550497569
path,394674.52501233027,4438792.482695055,0.2876501658343331
path,394675.4839254999,4438792.766394779,0.4335598351034967
path,394676.391401502,4438793.186498702,0.2876501658343331
path,394677.35031467164,4438793.470198425,-0.024522685504975716
path,394678.3500140057,4438793.445678198,-0.024522685504975716
path,394679.3497133397,4438793.42115797,-0.024522685504975716
path,394680.34941267374,4438793.396637742,-0.33669553684428455
path,394681.2932641859,4438793.066267763,-0.024522685504975716
path,394682.2929635199,4438793.041747536,-0.024522685504975716
path,394683.29266285396,4438793.017227308,0.2876501658343331
path,394684.2515760236,4438793.300927032,0.14174049656516954
path,394685.24154764577,4438793.442193402,-0.0041691727039940285
path,394686.2415389548,4438793.4380242415,0.14174049656516954
path,394687.23151057697,4438793.579290612,0.45391334790447835
path,394688.1302486174,4438794.017776569,0.7660861992437872
path,394688.85087831627,4438794.7110967245,0.45391334790447835
path,394689.7496163567,4438795.149582682,0.14174049656516952
path,394690.73958797887,4438795.290849052,0.45391334790447835
path,394690.73958797887,4438795.290849052,0.45391334790447835
path,394691.3146403698,4438795.213009425,0.30260889860298557
path,394691.8896927607,4438795.135169799,0.15130444930149278
path,394692.46474515164,4438795.0573301725,0.0
