type,x,y,yaw
start,394664.7786619395,4438785.075800236,0.021341903546679253
goal,394694.16969277576,4438795.033652031,0.0
path,394664.7786619395,4438785.075800236,0.021341903546679253
path,394665.7784342097,4438785.09714052,0.16725157281584282
path,394666.7644802389,4438785.263613425,0.47942442415515163
path,394667.6517408037,4438785.724881992,0.7915972754944605
path,394668.3544505921,4438786.4363585925,0.9375069447636241
path,394668.94625006913,4438787.24244381,0.6253340934243152
path,394669.75701766624,4438787.827811988,0.3131612420850064
path,394670.708382115,4438788.135879653,0.45907091135417
path,394671.6048466929,4438788.5789950555,0.7712437626934788
path,394672.3218909804,4438789.276022666,0.9171534319626424
path,394672.9299734137,4438790.069896556,0.6049805806233336
path,394673.7524865562,4438790.63864266,0.29280772928402476
path,394674.70992377924,4438790.927284244,0.43871739855318836
path,394675.6152210087,4438791.352062924,0.12654454721387953
path,394676.6072249265,4438791.4782700045,0.43871739855318836
path,394677.512522156,4438791.903048684,0.12654454721387953
path,394678.5045260738,4438792.029255765,-0.01936512205528404
path,394679.5043385757,4438792.009891853,-0.01936512205528404
path,394680.5041510776,4438791.990527941,-0.01936512205528404
path,394681.5039635795,4438791.971164029,0.29280772928402476
path,394682.46140080254,4438792.259805613,0.43871739855318836
path,394683.366698032,4438792.684584293,0.12654454721387953
path,394684.3587019498,4438792.810791373,-0.1856283041254293
path,394685.3415224321,4438792.626227293,-0.03971863485626573
path,394686.34073375084,4438792.586519101,-0.03971863485626573
path,394687.3399450696,4438792.546810908,-0.03971863485626573
path,394688.3391563883,4438792.507102716,0.27245421648304313
path,394689.30226976617,4438792.776198649,0.41836388575220673
path,394690.21602462674,4438793.182464639,0.7305367370915156
path,394690.9608409881,4438793.849734141,0.7305367370915156
path,394691.70565734943,4438794.517003642,0.41836388575220673
path,394692.61941221,4438794.923269632,0.1061910344128979
path,394692.61941221,4438794.923269632,0.1061910344128979
path,394693.1361723986,4438794.960063765,0.07079402294193193
path,394693.6529325872,4438794.996857898,0.03539701147096597
path,394694.16969277576,4438795.033652031,0.0
