type,x,y,yaw
start,394655.4762283841,4438783.924435236,-0.05932325258309671
goal,394683.69021445396,4438794.37986738,0.0
path,394655.4762283841,4438783.924435236,-0.05932325258309671
path,394656.47446927597,4438783.865146772,-0.37149610392240556
path,394657.40625456406,4438783.502136887,-0.05932325258309673
path,394658.4044954559,4438783.4428484235,0.2528495987562121
path,394659.37269894267,4438783.693012387,0.39875926802537565
path,394660.29424239136,4438784.081287639,0.25284959875621205
path,394661.2624458781,4438784.331451602,0.39875926802537565
path,394662.1839893268,4438784.719726855,0.25284959875621205
path,394663.1521928136,4438784.969890818,0.39875926802537565
path,394664.0737362623,4438785.358166071,0.08658641668606681
path,394665.06998999993,4438785.444644335,-0.05932325258309676
path,394666.0682308918,4438785.385355871,0.25284959875621205
path,394667.03643437853,4438785.635519834,0.39875926802537565
path,394667.95797782723,4438786.023795087,0.7109321193646845
path,394668.715731787,4438786.676335459,0.39875926802537565
path,394669.63727523567,4438787.064610711,0.08658641668606681
path,394670.6335289733,4438787.151088975,0.23249608595523039
path,394671.6066232842,4438787.381496141,-0.07967676538407845
path,394672.6034507697,4438787.301903652,-0.07967676538407845
path,394673.6002782551,4438787.222311163,0.23249608595523039
path,394674.573372566,4438787.452718329,0.5446689372945392
path,394675.4286714388,4438787.97085329,0.6905786065637028
path,394676.19954902015,4438788.607836613,0.6905786065637028
path,394676.9704266015,4438789.244819937,0.378405755224394
path,394677.8996813947,4438789.614259417,0.5243154244935576
path,394678.7653482517,4438790.114879925,0.6702250937627212
path,394679.54903011763,4438790.736042329,0.98239794510203
path,394680.10405957774,4438791.56787302,0.6702250937627212
path,394680.8877414437,4438792.189035424,0.5243154244935576
path,394681.7534083007,4438792.689655932,0.6702250937627212
path,394682.53709016665,4438793.310818336,0.98239794510203
path,394682.53709016665,4438793.310818336,0.98239794510203
path,394682.92146492907,4438793.6671680175,0.6549319634013534
path,394683.30583969154,4438794.023517698,0.32746598170067676
path,394683.69021445396,4438794.37986738,0.0
