type,x,y,yaw
start,394657.71571465686,4438790.284099981,0.07165594106390628
goal,394703.45442325436,4438788.24364173,0.0
path,394657.71571465686,4438790.284099981,0.07165594106390628
path,394658.71314846823,4438790.355694617,0.21756561033306987
path,394659.6895742813,4438790.571547882,-0.09460724100623896
path,394660.6851023533,4438790.477081709,-0.4067800923455478
path,394661.6035019049,4438790.081427487,-0.7189529436848566
path,394662.35599763464,4438789.422830359,-0.573043274415693
path,394663.1962524653,4438788.880638678,-0.2608704230763842
path,394664.16241830855,4438788.6227170555,-0.11496075380722062
path,394665.1558175955,4438788.508009355,0.1972120975320882
path,394666.1364342346,4438788.703945586,-0.11496075380722062
path,394667.12983352155,4438788.589237886,-0.4271336051465294
path,394668.03999045177,4438788.174974247,-0.2812239358773658
path,394669.0007069287,4438787.8974425355,0.030948915461943005
path,394670.0002280493,4438787.92838651,0.17685858473110658
path,394670.98462929286,4438788.104324544,0.17685858473110658
path,394671.9690305364,4438788.280262577,0.17685858473110658
path,394672.95343178,4438788.456200611,0.030948915461943005
path,394673.95295290055,4438788.487144586,-0.2812239358773658
path,394674.9136693775,4438788.209612874,-0.2812239358773658
path,394675.87438585446,4438787.932081163,-0.5933967872166747
path,394676.70343190344,4438787.372900827,-0.2812239358773658
path,394677.6641483804,4438787.0953691155,0.030948915461943005
path,394678.66366950097,4438787.12631309,0.17685858473110658
path,394679.64807074453,4438787.302251124,0.17685858473110658
path,394680.6324719881,4438787.478189157,-0.13531426660820225
path,394681.62333097315,4438787.343287446,0.010595402660961317
path,394682.6232748424,4438787.35388265,0.010595402660961317
path,394683.62321871164,4438787.364477854,0.010595402660961317
path,394684.6231625809,4438787.3750730585,0.1565050719301249
path,394685.61094063957,4438787.530940011,0.1565050719301249
path,394686.59871869825,4438787.686806964,0.1565050719301249
path,394687.58649675694,4438787.842673916,0.1565050719301249
path,394688.5742748156,4438787.998540869,0.1565050719301249
path,394689.5620528743,4438788.154407822,0.1565050719301249
path,394690.549830933,4438788.310274774,0.010595402660961317
path,394691.54977480223,4438788.3208699785,0.1565050719301249
path,394692.5375528609,4438788.476736931,0.1565050719301249
path,394693.5253309196,4438788.632603884,0.1565050719301249
path,394694.5131089783,4438788.788470836,0.1565050719301249
path,394695.50088703696,4438788.944337789,0.010595402660961317
path,394696.5008309062,4438788.954932993,0.010595402660961317
path,394697.50077477546,4438788.965528198,0.010595402660961317
path,394698.5007186447,4438788.976123402,0.010595402660961317
path,394699.50066251395,4438788.986718606,0.010595402660961317
path,394700.5006063832,4438788.9973138105,-0.3015774486783475
path,394701.455475516,4438788.700286978,-0.6137503000176563
path,394702.2729693499,4438788.124349628,-0.9259231513569651
path,394702.2729693499,4438788.124349628,-0.9259231513569651
path,394702.86369630217,4438788.183995679,-0.46296157567848256
path,394703.45442325436,4438788.24364173,0.0
