type,timestamp,x,y,yaw,target_waypoint_idx
actual,1746046575.5319548,394677.95715220494,4438788.54268451,-0.006468417100693847,0
actual,1746046575.5320067,394677.95715220494,4438788.54268451,-0.006468417100693847,0
actual,1746046575.937158,394677.9571529623,4438788.542682101,-0.00664525386050589,0
actual,1746046575.937204,394677.9571529623,4438788.542682101,-0.00664525386050589,0
actual,1746046576.0372875,394677.95788119617,4438788.542844033,-0.0065270078036831925,0
actual,1746046576.1373506,394677.9578850875,4438788.542838905,-0.0065115616398031,0
actual,1746046576.237354,394677.9578857298,4438788.542834073,-0.0064930611497317926,0
actual,1746046576.3373406,394677.9565645043,4438788.541683446,-0.006526746004295311,0
actual,1746046576.4373353,394677.95640133566,4438788.541646112,-0.006496255102263064,0
actual,1746046576.5373428,394677.9562540124,4438788.54164216,-0.00648159433654637,0
actual,1746046576.6373389,394677.95608330925,4438788.541642556,-0.006477614985851701,0
actual,1746046576.7373514,394677.95591530553,4438788.541635105,-0.006453895961317208,0
actual,1746046576.8373353,394677.9557692518,4438788.541660939,-0.006451103434513875,0
actual,1746046576.9373791,394677.95665880886,4438788.541708204,-0.0065268681773431375,0
actual,1746046577.037378,394677.95668918395,4438788.541775056,-0.006533395708745486,0
actual,1746046577.1594312,394677.9568207668,4438788.5418323735,-0.006531144234010393,0
actual,1746046577.2423098,394677.9568035764,4438788.541859124,-0.006494247973623377,0
actual,1746046577.3684373,394677.95584045124,4438788.542130136,-0.006536467488228929,0
actual,1746046577.4373949,394677.95540157094,4438788.542244339,-0.006511701266143155,0
actual,1746046577.5373511,394677.9549946338,4438788.542390687,-0.0065135513151503115,0
actual,1746046577.6373494,394677.954706211,4438788.542559707,-0.006537654312120265,0
actual,1746046577.737349,394677.95441388985,4438788.542771313,-0.006558825155947079,0
actual,1746046577.837397,394677.9549871313,4438788.54148037,-0.006636736653756083,0
actual,1746046577.9373496,394677.95508264995,4438788.541363791,-0.006604500422471783,0
actual,1746046578.0373397,394677.95522413024,4438788.541272737,-0.0066207494378077505,0
actual,1746046578.137334,394677.95533578476,4438788.541197882,-0.006614623332133339,0
actual,1746046578.237334,394677.95535158704,4438788.541104849,-0.006609963303030375,0
actual,1746046578.3372655,394677.9553326926,4438788.540977367,-0.00657654024785474,0
actual,1746046578.4373343,394677.955852124,4438788.541609538,-0.0065139527408782484,0
actual,1746046578.537336,394677.9558932048,4438788.541611749,-0.006528735679642769,0
actual,1746046578.6373723,394677.9559875445,4438788.541641454,-0.006533395708745486,0
actual,1746046578.737371,394677.9560794135,4438788.541675248,-0.006554042953796535,0
actual,1746046578.837336,394677.9561987345,4438788.541667521,-0.0065572369063278055,0
actual,1746046578.9373353,394677.95533259487,4438788.54145289,-0.006602772546512207,0
actual,1746046579.0373375,394677.95531264716,4438788.541453728,-0.00661809653734472,0
actual,1746046579.137367,394677.95525690017,4438788.541468271,-0.006619545160623939,0
actual,1746046579.2373667,394677.9552138898,4438788.5414379565,-0.006633542701224812,0
actual,1746046579.3373785,394677.95526275237,4438788.542381214,-0.006555107604640292,0
actual,1746046579.437417,394677.95525016374,4438788.542410334,-0.006549644724081452,0
actual,1746046579.537292,394677.9552189881,4438788.542442113,-0.00654578754643461,0
