x,y,yaw
4.525496162120692,2.3506600950882772,0.16903709547419513
4.563579959563706,2.357159693347985,0.17710113951087508
4.60070251038391,2.3641202452337,0.1936859724127467
4.636873482558152,2.371535842002573,0.21082982201785974
4.672102544063281,2.379400574911759,0.2285496342439308
4.706399362876143,2.3877085352184095,0.24686195445253686
4.739773606973587,2.396453814179676,0.265782745546421
4.772234944332461,2.4056305030527128,0.28532718177009564
4.803793042929612,2.415232693094672,0.30550941721418673
4.834457570741888,2.4252544755627063,0.3263423285127403
4.864238195746136,2.4356899417139672,0.3478372318739544
4.893144585919207,2.446533182805609,0.3700035754185904
4.9211864092379445,2.457778290094782,0.3928486088289061
4.9483733336792,2.4694193548386423,0.4163770335396034
4.974715027219819,2.48145046829434,0.4405906381232227
5.00022115783665,2.4938657217190277,0.46548792510965126
5.024901393506544,2.5066592063698585,0.4910637371865197
5.0487654022063415,2.519825013503985,0.517308892481903
5.071822851912898,2.533357234378561,0.5442098403337858
5.094083410603057,2.5472499602507366,0.5717483504742713
5.115556746253666,2.561497282377666,0.5999012497498738
5.136252526841575,2.576093292016502,0.6286402211986513
5.15618042034363,2.5910320804243963,0.6579316803371424
5.175350094736683,2.606307738858502,0.6877367427239569
5.193771217997576,2.621914358575972,0.7180112951429912
5.21145345810316,2.637846030833958,0.7487061800292901
5.228406483030283,2.654096846889614,0.7797674990639781
5.244639960755792,2.6706608980000914,0.8111370373089934
5.260163559256535,2.6875322754225435,0.8427528040577797
5.274986946509359,2.704705070414122,0.8745496810544903
5.289119790491113,2.7221733742319802,0.9064601632713162
5.302571759178646,2.7399312781332714,0.9384151724541682
5.315352520548803,2.757972873375147,0.9703449195674834
5.327471742578434,2.77629225121476,1.0021797894509445
5.338939093244384,2.7948835029092627,1.0338512196996976
5.349764240523505,2.813740719715808,1.0652925461189109
5.359956852392642,2.8328579928915496,1.0964397890479993
5.369526596828642,2.8522294136936384,1.1272323582229629
5.378483141808358,2.871849073379228,1.1576136583430636
5.386836155308632,2.8917110632054706,1.187531582734283
5.394595305306314,2.9118094744295187,1.2169388880424339
5.401770259778251,2.9321383983085245,1.245793448320144
5.408370686701295,2.9526919260996434,1.274058391836606
5.414406254052287,2.9734641490600233,1.301702128163574
5.4198866298080794,2.99444915844682,1.328698276395762
5.424821481945519,3.015641045517186,1.3550255076731506
5.429220478441454,3.037033901528273,1.3806673165005303
