x,y,yaw
4.6,2.4,0
4.6499808745149,2.398870995883114,-0.05646220487721894
4.699818388967224,2.3949232597236607,-0.11292440975443785
4.749353704533412,2.388169373484731,-0.1693866146316568
4.798428945538172,2.3786308627049966,-0.22584881950887578
4.846887702625362,2.36633812789394,-0.28231102438609473
4.894575531255536,2.3513303476413685,-0.3387732292633137
4.941340443941336,2.3336553537500055,-0.3952354341405327
4.987309475885863,2.3139881959752824,-0.4065278751159765
5.033234441544042,2.294217067294932,-0.4065278751159765
5.079159407202222,2.2744459386145817,-0.4065278751159765
5.125084372860401,2.2546748099342313,-0.4065278751159765
5.171009338518581,2.234903681253881,-0.4065278751159765
5.21693430417676,2.2151325525735306,-0.4065278751159765
5.26285926983494,2.1953614238931802,-0.4065278751159765
5.317693147390842,2.1710173522906184,-0.4516976390177517
5.362168506581623,2.148185250056676,-0.5081598438949706
5.40528452533494,2.1228796895129167,-0.5646220487721896
5.446903787132923,2.0951813228650216,-0.6210842536494086
5.486893645822287,2.065178428511727,-0.6775464585266275
5.525126648375362,2.032966629689761,-0.7340086634038465
5.561480941099936,1.9986485897098005,-0.7904708682810655
5.595840658003272,1.9623336847547708,-0.8469330731582845
5.628096290072516,1.9241376552833216,-0.9033952780355035
5.658145034294571,1.8841822371495085,-0.9598574829127224
5.685891121303044,1.8425947736143449,-1.0163196877899414
5.711246120608027,1.799507809485799,-1.0727818926671604
5.734129222435897,1.7550586686807659,-1.1292440975443794
5.754467495280864,1.709389016555378,-1.1857063024215984
5.772408175987451,1.6627221070373712,-1.1969987433970422
5.7917099059930965,1.6166048034913107,-1.1405365385198232
5.813583378740764,1.5716502302253195,-1.0840743336426042
5.837958880547565,1.528001663476377,-1.0276121287653852
5.8647587234293965,1.4857982170640343,-0.9711499238881662
5.893897492702926,1.4451743990160681,-0.9146877190109473
5.92528231921362,1.4062596828734066,-0.8582255141337283
5.9657675823846175,1.361992260196342,-0.7904708682810655
6.0017320309936695,1.3272658883182278,-0.7340086634038465
6.039598853745146,1.294624408537457,-0.6775464585266275
6.079247364010835,1.2641718536153852,-0.6210842536494086
6.120551196686144,1.236005279917109,-0.5646220487721896
6.163378710932583,1.2102144580798495,-0.5081598438949706
6.207593409734731,1.1868815869019262,-0.4516976390177516
6.2530543749344725,1.1660810313641958,-0.39523543414053264
6.299616716356011,1.14787908561891,-0.33877322926331366
6.347132033590243,1.1323337617013887,-0.2823110243860947
6.395448888966699,1.1194946046379037,-0.2258488195088757
6.444413290205664,1.1094025345390566,-0.16938661463165672
6.493869181212152,1.1020897161819105,-0.11292440975443777
6.543658939447565,1.0975794564965466,-0.05646220487721885
6.603623878293792,1.0958861302837597,0.011292440975443881
6.65358881714002,1.0975794564965466,0.06775464585266282
6.7033785753754325,1.1020897161819105,0.12421685072988173
6.752834466381921,1.1094025345390566,0.1806790556071007
6.801798867620885,1.1194946046379037,0.2371412604843197
6.850115722997342,1.1323337617013887,0.29360346536153864
6.897631040231573,1.14787908561891,0.3500656702387576
6.944193381653112,1.1660810313641958,0.4065278751159766
6.989654346852854,1.1868815869019265,0.4629900799931956
7.033869045655002,1.2102144580798497,0.5194522848704145
7.076696559901441,1.2360052799171093,0.5759144897476335
7.118000392576749,1.2641718536153854,0.6323766946248525
7.157648902842438,1.2946244085374572,0.6888388995020714
7.195515725593915,1.327265888318228,0.7453011043792904
7.231480174202967,1.3619922601963421,0.8017633092565094
7.265427625162188,1.3986928465805075,0.8582255141337284
7.297249883405421,1.4372506777937801,0.9146877190109474
7.32684552713991,1.4775428648715683,0.9711499238881663
7.3541202310911125,1.5194409912251963,1.0276121287653852
7.378987067129963,1.5628115219227467,1.0840743336426042
7.4013667813244535,1.6075162292827472,1.1405365385198232
7.421188046532501,1.653412633424276,1.1969987433970422
7.439023835609984,1.7001213703609608,1.1857063024215984
7.458845100818031,1.7460177745024896,1.1292440975443794
7.481224815012522,1.79072248186249,1.0727818926671604
7.506091651051372,1.8340930125600405,1.0163196877899414
7.533366355002575,1.8759911389136685,0.9598574829127224
7.562961998737064,1.9162833259914567,0.9033952780355035
7.594784256980297,1.9548411572047293,0.8469330731582845
7.635766815487648,1.9986485897098007,0.7791784273056217
7.672121108212223,2.0329666296897613,0.7227162224284027
7.710354110765298,2.0651784285117274,0.6662540175511837
7.750343969454661,2.095181322865022,0.6097918126739648
7.791963231252645,2.122879689512917,0.5533296077967458
7.835079250005961,2.1481852500566765,0.4968674029195268
7.8795546091967426,2.171017352290619,0.4404051980423078
7.92515825608392,2.1915106648283023,0.429112757066864
7.970137889327357,2.2133325588995376,0.485574961944083
8.013814386817673,2.237657978413877,0.542037166821302
8.05604854571631,2.264409395006179,0.598499371698521
8.096705760110693,2.293501548334175,0.65496157657574
8.13565645002127,2.324841717814581,0.7114237814529589
8.172776474390238,2.3583300181359994,0.7678859863301779
8.214737882797195,2.401200770975196,0.8356406321828407
8.247422775523015,2.4390301280285733,0.8921028370600597
8.27792078848083,2.478643682188672,0.9485650419372786
8.30613472042471,2.519915179760682,1.0050272468144976
8.331974649780369,2.5627130829624147,1.0614894516917166
8.355358221237257,2.606900989152807,1.1179516565689356
8.37621090822595,2.6523380655653788,1.1744138614461546
8.397800369606971,2.7083073107074402,1.2421685072988173
8.412862839402516,2.7559778935781014,1.2986307121760363
8.42521114982142,2.804422518639802,1.3550929170532553
8.434805945146978,2.8534867863937476,1.4115551219304743
8.441616645483332,2.9030143224570186,1.4680173268076933
8.445621544217685,2.952847275948637,1.5244795316849122
8.446807877202176,3.002826822581437,1.5809417365621312
8.44517186343493,3.052793670856305,1.6374039414393502
8.440718717110618,3.102588569745494,1.6938661463165692
8.433462631002113,3.1520528162469437,1.7503283511937882
