39.144,-6.357,90.641
39.544,-6.375,94.692
39.941,-6.422,98.743
40.335,-6.497,102.307
40.726,-6.583,102.307
41.117,-6.668,102.307
41.508,-6.753,102.307
41.899,-6.838,102.307
42.289,-6.924,102.307
42.68,-7.009,102.307
43.071,-7.094,102.307
43.462,-7.179,102.307
43.853,-7.265,102.307
44.244,-7.35,102.307
44.634,-7.435,102.307
45.025,-7.52,102.307
45.416,-7.606,102.307
45.807,-7.691,102.307
46.198,-7.776,102.307
46.588,-7.861,102.307
46.979,-7.947,102.307
47.37,-8.032,102.307
47.761,-8.117,102.307
48.152,-8.203,102.307
48.542,-8.288,102.307
48.933,-8.373,102.307
49.324,-8.458,102.307
49.715,-8.544,102.307
50.106,-8.629,102.307
50.496,-8.714,102.307
50.887,-8.799,102.307
51.278,-8.885,102.307
51.669,-8.97,102.307
52.06,-9.055,102.307
52.45,-9.14,102.307
52.841,-9.226,102.307
53.232,-9.311,102.307
53.623,-9.396,102.307
54.014,-9.481,102.307
54.405,-9.567,102.307
54.795,-9.652,102.307
55.192,-9.743,104.535
55.575,-9.856,108.586
55.95,-9.997,112.637
56.313,-10.163,116.689
56.664,-10.355,120.74
57.001,-10.571,124.791
57.321,-10.811,128.842
57.624,-11.072,132.893
57.907,-11.354,136.944
58.17,-11.656,140.995
58.195,-11.692,141.43
